Unnamed: 0,Temple,Lat,Lon,Degree_Deviation,KM_from_Line,Alignment_Category
0,"Somnath Temple, Gujarat",20.8877608,70.4013906,-8.5986094,894.2908277494453,Regional Cluster
1,"Mallikarjuna Temple, Srisailam",16.0503482,78.9008675,-0.09913249999999607,10.605259029231444,Perfect Alignment
2,"Mahakaleshwar, Ujjain",23.1817124,75.7703821,-3.229617899999994,330.49370430364195,Regional Cluster
3,"Omkareshwar, Madhya Pradesh",22.2451865,76.1635974,-2.8364025999999996,292.24791854838435,Regional Cluster
4,"Kedarnath Temple, Uttarakhand",30.7348954,79.0670255,0.06702549999999974,6.4132761986423805,Perfect Alignment
5,"Bhimashankar Temple, Maharashtra",19.0719964,73.5360388,-5.4639612,574.8606459588851,Regional Cluster
6,"Kashi Vishwanath, Varanasi",25.3108219,83.0106679,4.010667900000001,403.6074761632699,Regional Cluster
7,"Trimbakeshwar, Nashik",19.9321202,73.5307549,-5.469245099999995,572.3653380442307,Regional Cluster
8,"Vaidyanath Temple, Deoghar",24.4931,86.7,7.700000000000003,780.0288443845801,Regional Cluster
9,"Nageshwar Jyotirlinga, Gujarat",22.3359,69.0869,-9.9131,1020.7306782843181,Regional Cluster
10,"Ramanathaswamy Temple, Rameshwaram",9.2880968,79.3173756,0.3173756000000054,34.867046340184125,Perfect Alignment
11,"Grishneshwar Jyotirlinga Temple, Maharashtra",20.0249,75.1698,-3.830200000000005,400.6007188925555,Regional Cluster
